Jahr,Baumart,Waldeigentum,Einschlagsursache,Einschlagsursache,Einschlagsursache,Einschlagsursache,Einschlagsursache,Einschlagsursache,,,,,,,,
2015,Eiche und Roteiche,Privatwald,44,9,2,9,13,9,-,25,4,87,1,,,
2015,Eiche und Roteiche,Insgesamt,92,9,3,9,26,5,-,74,2,197,6,,,
2015,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),118,8,6,4,7,0,-,132,9,264,9,,,
2015,Buche und sonstiges Laubholz,K�rperschaftswald,99,3,7,1,6,7,-,216,9,330,0,,,
2015,Buche und sonstiges Laubholz,Privatwald,222,3,12,1,16,9,-,71,5,322,8,,,
2015,Buche und sonstiges Laubholz,Insgesamt,440,4,25,6,30,5,-,421,2,917,7,,,
2015,Kiefer und L�rche,Staatswald (Bundes- und Landeswald),339,6,13,7,10,5,-,65,5,429,4,,,
2015,Kiefer und L�rche,K�rperschaftswald,122,1,5,9,10,7,-,31,0,169,8,,,
2015,Kiefer und L�rche,Privatwald,671,1,19,8,91,5,-,40,5,822,8,,,
2015,Kiefer und L�rche,Insgesamt,1132,8,39,4,112,7,-,137,0,1422,0,,,
2015,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Staatswald (Bundes- und Landeswald),2839,8,71,2,789,7,-,81,3,3781,9,
2015,Fichte und Tanne und Douglasie und sonstiges Nadelholz,K�rperschaftswald,1196,3,46,9,396,9,-,60,9,1701,0,
2015,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Privatwald,2647,7,124,8,1992,0,-,95,4,4859,8,
2015,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Insgesamt,6683,8,242,8,3178,5,-,237,6,10342,7,
2015,Insgesamt,Staatswald (Bundes- und Landeswald),3318,8,91,7,815,9,-,307,2,4533,6,,,
2015,Insgesamt,K�rperschaftswald,1445,2,60,5,418,1,-,330,3,2254,0,,,
2015,Insgesamt,Privatwald,3586,0,159,5,2114,3,-,232,7,6092,4,,,
2015,Insgesamt,Insgesamt,8349,9,311,7,3348,3,-,870,1,12880,0,,,
2016,Eiche und Roteiche,Staatswald (Bundes- und Landeswald),14,0,0,2,7,9,-,22,4,44,5,,,
2016,Eiche und Roteiche,K�rperschaftswald,8,4,0,7,4,7,-,24,7,38,5,,,
2016,Eiche und Roteiche,Privatwald,17,2,0,4,14,7,-,23,2,55,5,,,
2016,Eiche und Roteiche,Insgesamt,39,6,1,4,27,3,-,70,2,138,4,,,
2016,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),42,7,1,1,9,6,-,150,7,204,0,,,
2016,Buche und sonstiges Laubholz,K�rperschaftswald,42,3,2,2,13,5,-,237,5,295,5,,,
2016,Buche und sonstiges Laubholz,Privatwald,77,5,3,8,24,8,-,150,3,256,5,,,
2016,Buche und sonstiges Laubholz,Insgesamt,162,6,7,1,47,9,-,538,4,756,0,,,
2016,Kiefer und L�rche,Staatswald (Bundes- und Landeswald),104,6,8,0,21,8,-,112,9,247,2,,,
2016,Kiefer und L�rche,K�rperschaftswald,25,4,6,4,20,8,-,45,0,97,6,,,
2016,Kiefer und L�rche,Privatwald,130,9,6,3,110,5,-,39,3,286,9,,,
2016,Kiefer und L�rche,Insgesamt,260,9,20,7,153,1,-,197,1,631,8,,,
2016,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Staatswald (Bundes- und Landeswald),447,3,27,0,1228,0,-,128,1,1830,4,
2016,Fichte und Tanne und Douglasie und sonstiges Nadelholz,K�rperschaftswald,264,0,15,1,656,8,-,84,2,1020,2,
2016,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Privatwald,648,0,25,5,2554,6,-,174,9,3403,1,
2016,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Insgesamt,1359,3,67,7,4439,4,-,387,2,6253,7,
2016,Insgesamt,Staatswald (Bundes- und Landeswald),608,6,36,3,1267,4,-,413,9,2326,2,,,
2016,Insgesamt,K�rperschaftswald,340,2,24,5,695,8,-,391,2,1451,8,,,
2016,Insgesamt,Privatwald,873,6,36,1,2704,6,-,387,7,4002,0,,,
2016,Insgesamt,Insgesamt,1822,4,96,8,4667,8,-,1192,9,7779,9,,,
2017,Eiche und Roteiche,Staatswald (Bundes- und Landeswald),27,3,0,2,4,6,-,24,6,56,7,,,
2017,Eiche und Roteiche,K�rperschaftswald,19,0,0,2,2,2,-,23,9,45,3,,,
2017,Eiche und Roteiche,Privatwald,47,5,0,1,14,4,-,23,5,85,5,,,
2017,Eiche und Roteiche,Insgesamt,93,8,0,5,21,2,-,72,0,187,5,,,
2017,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),80,5,2,3,8,3,-,157,1,248,2,,,
2017,Buche und sonstiges Laubholz,K�rperschaftswald,53,7,1,3,14,0,-,258,4,327,4,,,
2017,Buche und sonstiges Laubholz,Privatwald,211,0,3,0,31,2,-,275,6,520,8,,,
2017,Buche und sonstiges Laubholz,Insgesamt,345,2,6,6,53,5,-,691,1,1096,4,,,
2017,Kiefer und L�rche,Staatswald (Bundes- und Landeswald),297,3,5,9,23,6,-,112,6,439,4,,,
2017,Kiefer und L�rche,K�rperschaftswald,68,3,2,8,18,1,-,75,2,164,3,,,
2017,Kiefer und L�rche,Privatwald,610,9,6,3,294,5,-,182,5,1094,1,,,
2017,Kiefer und L�rche,Insgesamt,976,4,14,9,336,2,-,370,3,1697,9,,,
2017,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Staatswald (Bundes- und Landeswald),723,9,10,0,1637,6,-,86,8,2458,4,
2017,Fichte und Tanne und Douglasie und sonstiges Nadelholz,K�rperschaftswald,377,4,9,0,831,3,-,88,4,1306,0,
2017,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Privatwald,2137,7,34,8,3123,4,-,222,3,5518,1,
2017,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Insgesamt,3239,0,53,8,5592,2,-,397,5,9282,6,
2017,Insgesamt,Staatswald (Bundes- und Landeswald),1129,0,18,4,1674,2,-,381,2,3202,8,,,
2017,Insgesamt,K�rperschaftswald,518,3,13,2,865,5,-,445,9,1843,0,,,
2017,Insgesamt,Privatwald,3007,0,44,2,3463,5,-,703,9,7218,6,,,
2017,Insgesamt,Insgesamt,4654,4,75,8,6003,2,-,1531,0,12264,4,,,
2018,Eiche und Roteiche,Staatswald (Bundes- und Landeswald),174,2,0,0,2,9,-,13,7,190,8,,,
2018,Eiche und Roteiche,K�rperschaftswald,78,1,0,1,2,4,-,22,8,103,3,,,
2018,Eiche und Roteiche,Privatwald,173,7,0,4,6,5,-,40,4,221,0,,,
2018,Eiche und Roteiche,Insgesamt,425,9,0,5,11,8,-,76,8,515,1,,,
2018,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),457,0,0,8,14,6,-,209,0,681,5,,,
2018,Buche und sonstiges Laubholz,K�rperschaftswald,241,9,1,2,17,0,-,307,9,568,1,,,
2018,Buche und sonstiges Laubholz,Privatwald,450,7,8,9,59,7,-,331,6,850,9,,,
2018,Buche und sonstiges Laubholz,Insgesamt,1149,7,10,9,91,3,-,848,5,2100,4,,,
2018,Kiefer und L�rche,Staatswald (Bundes- und Landeswald),1609,0,3,0,99,2,-,80,0,1791,2,,,
2018,Kiefer und L�rche,K�rperschaftswald,326,2,3,2,28,4,-,61,7,419,6,,,
2018,Kiefer und L�rche,Privatwald,2206,5,15,3,312,2,-,286,5,2820,6,,,
2018,Kiefer und L�rche,Insgesamt,4141,8,21,5,439,8,-,428,2,5031,4,,,
2018,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Staatswald (Bundes- und Landeswald),6101,8,22,6,3668,6,-,108,4,9901,4,
2018,Fichte und Tanne und Douglasie und sonstiges Nadelholz,K�rperschaftswald,2594,5,13,3,1972,3,-,112,3,4692,5,
2018,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Privatwald,4083,1,80,1,5140,0,-,389,6,9692,9,
2018,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Insgesamt,12779,5,116,1,10781,0,-,610,3,24286,8,
2018,Insgesamt,Staatswald (Bundes- und Landeswald),8342,1,26,4,3785,4,-,411,0,12564,9,,,
2018,Insgesamt,K�rperschaftswald,3240,8,17,9,2020,1,-,504,7,5783,5,,,
2018,Insgesamt,Privatwald,6914,0,104,7,5518,5,-,1048,1,13585,3,,,
2018,Insgesamt,Insgesamt,18496,9,149,0,11324,0,-,1963,9,31933,7,,,
2019,Eiche und Roteiche,Staatswald (Bundes- und Landeswald),70,3,1,3,10,4,-,34,1,116,0,,,
2019,Eiche und Roteiche,K�rperschaftswald,34,1,0,2,4,7,-,37,6,76,6,,,
2019,Eiche und Roteiche,Privatwald,58,1,4,6,24,3,-,54,2,141,3,,,
2019,Eiche und Roteiche,Insgesamt,162,4,6,1,39,4,-,126,0,333,9,,,
2019,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),204,3,11,2,41,7,-,558,1,815,3,,,
2019,Buche und sonstiges Laubholz,K�rperschaftswald,99,6,11,2,38,6,-,523,1,672,6,,,
2019,Buche und sonstiges Laubholz,Privatwald,168,8,67,3,83,3,-,720,0,1039,5,,,
2019,Buche und sonstiges Laubholz,Insgesamt,472,7,89,6,163,6,-,1801,4,2527,4,,,
2019,Kiefer und L�rche,Staatswald (Bundes- und Landeswald),448,9,27,0,566,2,-,405,1,1447,2,,,
2019,Kiefer und L�rche,K�rperschaftswald,127,8,17,3,135,1,-,220,1,500,4,,,
2019,Kiefer und L�rche,Privatwald,451,0,128,7,528,3,-,699,0,1807,1,,,
2019,Kiefer und L�rche,Insgesamt,1027,8,173,0,1229,7,-,1324,2,3754,7,,,
2019,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Staatswald (Bundes- und Landeswald),2422,9,778,1,10551,0,-,484,7,14236,8,
2019,Fichte und Tanne und Douglasie und sonstiges Nadelholz,K�rperschaftswald,988,3,236,9,6206,4,-,416,4,7848,1,
2019,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Privatwald,1508,0,1181,4,13512,2,-,1338,9,17540,5,
2019,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Insgesamt,4919,2,2196,4,30269,7,-,2240,1,39625,4,
2019,Insgesamt,Staatswald (Bundes- und Landeswald),3146,4,817,5,11169,4,-,1482,1,16615,4,,,
2019,Insgesamt,K�rperschaftswald,1249,8,265,7,6384,9,-,1197,4,9097,7,,,
2019,Insgesamt,Privatwald,2186,0,1382,0,14148,1,-,2812,3,20528,3,,,
2019,Insgesamt,Insgesamt,6582,1,2465,2,31702,4,-,5491,7,46241,3,,,
2020,Eiche und Roteiche,Staatswald (Bundes- und Landeswald),24,8,0,0,26,4,35,3,49,9,136,4,,
2020,Eiche und Roteiche,K�rperschaftswald,22,7,0,7,7,9,15,9,39,2,86,4,,
2020,Eiche und Roteiche,Privatwald,28,0,0,5,19,7,55,8,26,9,130,9,,
2020,Eiche und Roteiche,Insgesamt,75,4,1,2,54,0,107,1,116,0,353,7,,
2020,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),145,9,1,8,42,5,284,4,464,7,939,3,,
2020,Buche und sonstiges Laubholz,K�rperschaftswald,153,8,1,6,39,4,122,0,645,5,962,3,,
2020,Buche und sonstiges Laubholz,Privatwald,254,7,7,7,86,8,406,9,522,6,1278,8,,
2020,Buche und sonstiges Laubholz,Insgesamt,554,5,11,1,168,8,813,3,1632,8,3180,4,,
2020,Kiefer und L�rche,Staatswald (Bundes- und Landeswald),184,6,4,1,492,9,152,1,210,1,1043,8,,
2020,Kiefer und L�rche,K�rperschaftswald,112,1,3,9,122,4,76,3,117,2,432,0,,
2020,Kiefer und L�rche,Privatwald,254,9,18,5,616,8,667,7,110,7,1668,5,,
2020,Kiefer und L�rche,Insgesamt,551,6,26,5,1232,1,896,1,438,0,3144,3,,
2020,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Staatswald (Bundes- und Landeswald),3128,2,98,1,13761,6,327,4,420,1,17735,5
2020,Fichte und Tanne und Douglasie und sonstiges Nadelholz,K�rperschaftswald,1885,5,13,3,8750,9,212,5,284,9,11147,0
2020,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Privatwald,3968,5,115,6,19328,0,782,6,371,7,24566,5
2020,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Insgesamt,8982,3,227,0,41840,5,1322,6,1076,6,53448,9
2020,Insgesamt,Staatswald (Bundes- und Landeswald),3483,5,104,0,14323,4,799,3,1144,8,19855,0,,
2020,Insgesamt,K�rperschaftswald,2174,1,19,5,8920,6,426,8,1086,8,12627,8,,
2020,Insgesamt,Privatwald,4506,2,142,2,20051,3,1913,0,1031,9,27644,6,,
2020,Insgesamt,Insgesamt,10163,8,265,8,43295,3,3139,1,3263,5,60127,4,,
2021,Eiche und Roteiche,Staatswald (Bundes- und Landeswald),8,1,0,3,22,8,42,0,44,4,117,6,,
2021,Eiche und Roteiche,K�rperschaftswald,9,1,0,5,62,8,33,7,32,0,138,1,,
2021,Eiche und Roteiche,Privatwald,51,3,1,0,28,0,138,9,47,7,267,0,,
2021,Eiche und Roteiche,Insgesamt,68,5,1,7,113,7,214,6,124,1,522,7,,
2021,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),39,9,4,7,26,7,189,4,351,5,612,2,,
2021,Buche und sonstiges Laubholz,K�rperschaftswald,61,0,12,6,45,1,359,9,415,3,893,8,,
2021,Buche und sonstiges Laubholz,Privatwald,189,2,23,3,84,1,638,8,349,9,1285,4,,
2021,Buche und sonstiges Laubholz,Insgesamt,290,1,40,6,155,9,1188,1,1116,7,2791,4,,
2021,Kiefer und L�rche,Staatswald (Bundes- und Landeswald),33,7,3,6,342,7,135,1,179,4,694,4,,
2021,Kiefer und L�rche,K�rperschaftswald,75,5,3,1,177,6,107,8,100,2,464,3,,
2021,Kiefer und L�rche,Privatwald,155,5,29,0,873,0,602,8,160,6,1820,8,,
2021,Kiefer und L�rche,Insgesamt,264,7,35,7,1393,3,845,7,440,2,2979,5,,
2021,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Staatswald (Bundes- und Landeswald),387,6,157,7,9214,3,125,6,268,6,10153,8
2021,Fichte und Tanne und Douglasie und sonstiges Nadelholz,K�rperschaftswald,230,4,206,9,8138,6,345,5,77,5,8998,9
2021,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Privatwald,1083,6,364,0,22065,6,1248,1,282,6,25043,9
2021,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Insgesamt,1701,6,728,6,39418,5,1719,2,628,7,44196,6
2021,Insgesamt,Staatswald (Bundes- und Landeswald),469,3,166,3,9606,5,492,1,843,8,11578,0,,
2021,Insgesamt,K�rperschaftswald,375,9,223,1,8424,1,846,9,625,1,10495,1,,
2021,Insgesamt,Privatwald,1479,6,417,3,23050,8,2628,7,840,8,28417,1,,
2021,Insgesamt,Insgesamt,2324,9,806,6,41081,4,3967,6,2309,7,50490,2,,
2022,Eiche und Roteiche,Staatswald (Bundes- und Landeswald),49,4,0,6,19,5,42,9,33,5,145,8,,
2022,Eiche und Roteiche,K�rperschaftswald,28,1,0,5,11,7,38,0,27,6,106,0,,
2022,Eiche und Roteiche,Privatwald,104,3,1,2,51,5,94,5,25,6,277,0,,
2022,Eiche und Roteiche,Insgesamt,181,8,2,3,82,7,175,4,86,7,528,9,,
2022,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),237,0,6,8,23,2,178,7,277,9,723,6,,
2022,Buche und sonstiges Laubholz,K�rperschaftswald,167,7,6,6,43,2,345,4,423,5,986,4,,
2022,Buche und sonstiges Laubholz,Privatwald,424,8,7,5,104,2,629,0,435,4,1600,8,,
2022,Buche und sonstiges Laubholz,Insgesamt,829,5,21,0,170,5,1153,1,1136,8,3310,8,,
2022,Kiefer und L�rche,Staatswald (Bundes- und Landeswald),1110,7,8,5,159,7,132,8,117,1,1528,8,,
2022,Kiefer und L�rche,K�rperschaftswald,246,9,4,1,106,7,127,7,95,4,580,8,,
2022,Kiefer und L�rche,Privatwald,2005,3,16,7,573,2,554,0,146,5,3295,6,,
2022,Kiefer und L�rche,Insgesamt,3362,9,29,3,839,5,814,5,358,9,5405,1,,
2022,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Staatswald (Bundes- und Landeswald),3422,5,34,9,6783,2,191,0,58,0,10489,6
2022,Fichte und Tanne und Douglasie und sonstiges Nadelholz,K�rperschaftswald,1128,3,78,7,4372,3,242,3,54,6,5876,2
2022,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Privatwald,3476,8,98,3,14304,4,1033,8,130,1,19043,4
2022,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Insgesamt,8027,6,211,9,25460,0,1467,0,242,6,35409,1
2022,Insgesamt,Staatswald (Bundes- und Landeswald),4819,5,50,9,6985,6,545,4,486,4,12887,8,,
2022,Insgesamt,K�rperschaftswald,1571,1,89,9,4533,9,753,3,601,2,7549,4,,
2022,Insgesamt,Privatwald,6011,1,123,6,15033,2,2311,3,737,5,24216,8,,
2022,Insgesamt,Insgesamt,12401,7,264,5,26552,7,3609,9,1825,1,44653,9,,
2023,Eiche und Roteiche,Staatswald (Bundes- und Landeswald),17,0,0,6,36,0,41,1,49,5,144,2,,
2023,Eiche und Roteiche,K�rperschaftswald,19,5,0,3,26,4,41,5,30,5,118,2,,
2023,Eiche und Roteiche,Privatwald,85,9,3,4,60,4,108,9,29,7,288,3,,
2023,Eiche und Roteiche,Insgesamt,122,3,4,4,122,7,191,5,109,7,550,7,,
2023,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),94,1,2,8,37,5,288,9,221,7,645,0,,
2023,Buche und sonstiges Laubholz,K�rperschaftswald,117,6,6,3,42,4,419,1,422,6,1008,0,,
2023,Buche und sonstiges Laubholz,Privatwald,507,7,79,5,144,6,647,0,542,7,1921,5,,
2023,Buche und sonstiges Laubholz,Insgesamt,719,4,88,6,224,5,1355,1,1187,0,3574,5,,
2023,Kiefer und L�rche,Staatswald (Bundes- und Landeswald),132,5,5,6,236,8,159,2,224,4,758,4,,
2023,Kiefer und L�rche,K�rperschaftswald,69,6,8,5,113,9,136,5,98,3,426,9,,
2023,Kiefer und L�rche,Privatwald,655,7,165,9,622,9,464,8,121,4,2030,7,,
2023,Kiefer und L�rche,Insgesamt,857,9,180,0,973,6,760,5,444,0,3216,0,,
2023,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Staatswald (Bundes- und Landeswald),697,9,10,1,8355,2,272,1,69,1,9404,3
2023,Fichte und Tanne und Douglasie und sonstiges Nadelholz,K�rperschaftswald,632,7,16,0,4652,1,332,8,41,7,5675,4
2023,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Privatwald,1836,9,429,9,12905,8,1045,0,108,8,16326,4
2023,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Insgesamt,3167,5,456,0,25913,1,1649,9,219,6,31406,1
2023,Insgesamt,Staatswald (Bundes- und Landeswald),941,5,19,1,8665,4,761,3,564,7,10951,9,,
2023,Insgesamt,K�rperschaftswald,839,4,31,2,4834,8,929,9,593,1,7228,4,,
2023,Insgesamt,Privatwald,3086,2,678,7,13733,7,2265,8,802,5,20566,9,,
2023,Insgesamt,Insgesamt,4867,1,729,0,27233,9,3956,9,1960,3,38747,3,,
__________,,,,,,,,,,,,,,,,
